"","Award","Flexible_eligibility","Self_nomination","Letter_not_required","Inclusivity_statement","Assessors_transparency","Process_transparency","Criteria_transparency","Diverse_contributions","Open_science","Relative_opportunity","Feedback_availability"
"1","SORTEE Open Science in Practice","X","V","V","X","X","?","V","X","V","V","X"
"2","ESEB Maynard Smith Prize","V","V","X","X","V","X","X","X","X","X","X"
"3","ESEB President's Award","?","X","V","X","V","X","X","X","X","X","X"
"4","SSE Dobzhansky Prize","V","V","X","V","V","X","X","X","X","X","X"
"5","ASN Distinguished Naturalist Award","V","X","X","X","V","X","X","V","X","X","X"
"6","ASN Early Career Investigator Award","V","V","X","X","V","X","X","X","X","X","X"
"7","ESGAS GfÖ-Prize","X","X","X","X","X","X","X","X","X","X","X"
"8","SMBE Early-Career Excellence Award","V","X","X","X","X","X","V","V","X","X","X"
"9","SMBE Mid-Career Excellence Award","V","X","X","X","X","X","V","V","X","X","X"
"10","LSL The Bicentenary Medal","X","X","X","X","X","X","X","V","X","X","X"
"11","IEI Professional Excellence","X","X","X","?","?","X","X","X","X","V","X"
"12","ESA MacArthur Award","V","X","X","V","V","X","X","V","X","X","X"
"13","BES Founders’ Prize","V","X","X","X","X","X","X","X","X","X","X"
